Project,Accuracy,Precision,Recall,F1,AUC,Duration,Memory_KB
Pytorch,0.8444,0.6858,0.7509,0.6996,0.7509,0.0106,362.1080
Caffe,0.8379,0.6191,0.6092,0.5977,0.6092,0.0073,349.8562
Incubator-mxnet,0.8808,0.7431,0.7736,0.7534,0.7736,0.0070,355.7810
Keras,0.8851,0.8123,0.8392,0.8226,0.8392,0.0134,359.8327
Tensorflow,0.8641,0.7711,0.8390,0.7946,0.8390,0.0168,381.2266
