run,Accuracies,Precisions,Recalls,F1s,AUCs,Durations,Memory_KB
0,0.9038461538461539,0.7859237536656891,0.7472527472527473,0.7644927536231885,0.7472527472527472,0.007771968841552734,355.7568359375
1,0.8269230769230769,0.6587301587301587,0.6420454545454546,0.649438202247191,0.6420454545454546,0.006955146789550781,355.708984375
2,0.8653846153846154,0.7133126934984519,0.7912087912087912,0.7414772727272727,0.7912087912087912,0.008795976638793945,355.65234375
3,0.8942307692307693,0.7747252747252747,0.7579365079365079,0.7659095559648046,0.7579365079365079,0.008450984954833984,355.7568359375
4,0.9134615384615384,0.7826233941852603,0.8786231884057971,0.8196879214024273,0.8786231884057971,0.006976127624511719,355.8212890625
5,0.8557692307692307,0.7151162790697674,0.749438202247191,0.7298701298701298,0.749438202247191,0.0059719085693359375,355.5126953125
6,0.9230769230769231,0.7787234042553192,0.7787234042553192,0.7787234042553192,0.7787234042553193,0.005957126617431641,355.896484375
7,0.8846153846153846,0.7545219638242895,0.8126984126984127,0.7784090909090908,0.8126984126984127,0.0059850215911865234,356.005859375
8,0.8461538461538461,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454545,0.007080793380737305,355.6474609375
9,0.8942307692307693,0.763095238095238,0.8736263736263736,0.8019047619047619,0.8736263736263737,0.0060749053955078125,356.05078125
