run,Accuracies,Precisions,Recalls,F1s,AUCs,Durations,Memory_KB
0,0.8805970149253731,0.8144686742817584,0.8144686742817584,0.8144686742817584,0.8144686742817584,0.01587510108947754,360.0107421875
1,0.917910447761194,0.8378331602630669,0.8961038961038961,0.8626409467896747,0.8961038961038963,0.014611005783081055,359.9970703125
2,0.8955223880597015,0.7894204851752021,0.8767543859649123,0.8223484848484849,0.8767543859649123,0.01392507553100586,360.1669921875
3,0.8955223880597015,0.8278899082568807,0.8278899082568807,0.8278899082568807,0.8278899082568807,0.013651847839355469,360.16015625
4,0.8805970149253731,0.8033027522935781,0.8033027522935781,0.8033027522935781,0.8033027522935781,0.008037090301513672,359.7841796875
5,0.8731343283582089,0.8015498652291105,0.8097957770854967,0.8055484421681605,0.8097957770854967,0.01859307289123535,359.8759765625
6,0.8805970149253731,0.8289337474120082,0.8893995098039216,0.85065477848983,0.8893995098039216,0.008786916732788086,359.494140625
7,0.8507462686567164,0.7849541284403669,0.7550082101806239,0.7680858428521979,0.755008210180624,0.013139963150024414,359.5673828125
8,0.9253731343283582,0.8608490566037736,0.9056818181818183,0.8806980056980057,0.9056818181818183,0.010001182556152344,359.693359375
9,0.8507462686567164,0.7738235294117648,0.8136792452830188,0.7901659880989664,0.8136792452830189,0.01763916015625,359.5771484375
